Entity,Code,Year,pop_missreg_bmr_owid,pop_nondem_womsuffr_bmr_owid,pop_dem_womsuffr_bmr_owid
Africa,,1800,78771175,2500000,0
Africa,,1801,78804425,2509126,0
Africa,,1802,78900614,2518286,0
Africa,,1803,78998142,2527479,0
Africa,,1804,79097025,2536706,0
Africa,,1805,79197280,2545967,0
Africa,,1806,79298913,2555261,0
Africa,,1807,79401939,2564589,0
Africa,,1808,79506381,2573951,0
Africa,,1809,79612248,2583348,0
Africa,,1810,79792775,2592813,0
Africa,,1811,79838656,2602278,0
Africa,,1812,79967795,2611778,0
Africa,,1813,80108304,2621312,0
Africa,,1814,80260577,2630882,0
Africa,,1815,80424755,2640486,0
Africa,,1816,80600999,2650125,0
Africa,,1817,80789461,2659800,0
Africa,,1818,80990294,2669510,0
Africa,,1819,81276117,2678317,0
Africa,,1820,81730483,2686218,0
Africa,,1821,82118434,2693207,0
Africa,,1822,82677488,2699278,0
Africa,,1823,83351678,2704427,0
Africa,,1824,84046333,2709586,0
Africa,,1825,84761783,2714755,0
Africa,,1826,85498342,2719934,0
Africa,,1827,86256352,2725122,0
Africa,,1828,87036152,2730320,0
Africa,,1829,87838375,2735529,0
Africa,,1830,88753281,2740747,0
Africa,,1831,89511585,2745975,0
Africa,,1832,90374136,2751213,0
Africa,,1833,91251331,2756461,0
Africa,,1834,92143115,2761719,0
Africa,,1835,93049779,2766987,0
Africa,,1836,93971584,2772266,0
Africa,,1837,94908803,2777554,0
Africa,,1838,95861729,2782852,0
Africa,,1839,96849954,2788161,0
Africa,,1840,97979170,2793479,0
Africa,,1841,98935707,2798808,0
Africa,,1842,100034999,2804147,0
Africa,,1843,101173125,2809496,0
Africa,,1844,102331704,2814855,0
Africa,,1845,103511169,2820225,0
Africa,,1846,104711929,2825605,0
Africa,,1847,105606035,3159377,0
Africa,,1848,106850129,3165340,0
Africa,,1849,107980209,3176197,0
Africa,,1850,109103364,3192006,0
Africa,,1851,109632875,3213287,0
Africa,,1852,110145618,3239640,0
Africa,,1853,110530808,3271122,0
Africa,,1854,110919366,3302914,0
Africa,,1855,92918046,21728335,0
Africa,,1856,93321667,21752614,0
Africa,,1857,93728854,21777212,0
Africa,,1858,94139678,21802129,0
Africa,,1859,94562803,21827439,0
Africa,,1860,95163127,21853148,0
Africa,,1861,95445828,21879260,0
Africa,,1862,95905635,21905779,0
Africa,,1863,96377567,21932710,0
Africa,,1864,96852933,21959985,0
Africa,,1865,97331767,21987608,0
Africa,,1866,97814095,22015584,0
Africa,,1867,98299945,22043915,0
Africa,,1868,98789336,22072604,0
Africa,,1869,99294481,22101732,0
Africa,,1870,99999269,22131304,0
Africa,,1871,100351160,22161323,0
Africa,,1872,100904731,22191797,0
Africa,,1873,101474841,22222729,0
Africa,,1874,102049475,22254049,0
Africa,,1875,102628675,22285759,0
Africa,,1876,103212465,22317864,0
Africa,,1877,103800892,22350367,0
Africa,,1878,104393998,22383274,0
Africa,,1879,105001992,22416587,0
Africa,,1880,105806808,22450311,0
Africa,,1881,106263123,22484449,0
Africa,,1882,106916484,22519006,0
Africa,,1883,107585192,22553985,0
Africa,,1884,108259211,22589392,0
Africa,,1885,108938573,22625230,0
Africa,,1886,109623337,22661504,0
Africa,,1887,110313546,22698219,0
Africa,,1888,111009251,22735377,0
Africa,,1889,111621735,22772684,0
Africa,,1890,112319244,22810141,0
Africa,,1891,112597653,22847746,0
Africa,,1892,112961384,22885497,0
Africa,,1893,113242502,22923391,0
Africa,,1894,113529898,22961726,0
Africa,,1895,113823612,23000506,0
Africa,,1896,114123691,23039736,0
Africa,,1897,114430170,23079421,0
Africa,,1898,114743098,23119563,0
Africa,,1899,115077271,23166285,0
