Entity,Year,no regime data,closed autocraties,electoral autocraties,electoral democraties,liberal democraties
World,1800,156929163,805811988,22000000,0,0
World,1801,155589718,809728760,22309844,0,0
World,1802,155873754,812600666,22624318,0,0
World,1803,156166627,815500140,22943493,0,0
World,1804,158145868,816749928,23267444,0,0
World,1805,158456410,819705387,23596247,0,0
World,1806,158775801,822689289,23929977,0,0
World,1807,158214577,826591453,24268712,0,0
World,1808,158553201,829631778,24612534,0,0
World,1809,150233796,841368549,24961521,0,0
World,1810,149850804,847043637,25735756,0,0
World,1811,149393555,851565151,26528763,0,0
World,1812,149804579,856335315,27491242,0,0
World,1813,149362802,862446848,28634039,0,0
World,1814,147664012,869929847,29833433,0,0
World,1815,130394462,893099160,31092484,0,0
World,1816,130803989,898706099,32414425,0,0
World,1817,129569783,906074618,33802669,0,0
World,1818,129990931,911906799,35260822,0,0
World,1819,131281150,916895626,36581099,0,0
World,1820,133346417,921848247,37752758,0,0
World,1821,126498276,932812466,40020835,0,0
World,1822,127099102,938259740,40894941,0,0
World,1823,127523463,930614854,55376475,0,0
World,1824,133278460,943951677,43646032,0,0
World,1825,133118722,950844647,44379591,0,0
World,1826,129215757,961617048,45128383,0,0
World,1827,130207208,967584855,45892783,0,0
World,1828,131215359,973626891,46673172,0,0
World,1829,132238771,979204567,47455046,0,0
World,1830,132585357,986498584,47535918,0,0
World,1831,125877567,992003018,54386141,0,0
World,1832,126859085,992284346,59072867,0,0
World,1833,127853884,997515856,58305255,0,0
World,1834,126778602,1003205077,59211186,0,0
World,1835,127812434,1005598716,61365871,0,0
World,1836,128864178,994576576,76981832,0,0
World,1837,129934200,996274385,79924136,0,0
World,1838,130379656,1001727147,79801814,0,0
World,1839,116946757,1019551986,81114056,0,0
World,1840,118891683,1043216653,62010356,0,0
World,1841,117351404,1050031288,61438797,0,0
World,1842,118404072,1046396677,69533004,0,0
World,1843,119478288,1050172773,70135176,0,0
World,1844,120438427,1053990041,70891449,0,0
World,1845,121547197,1057684826,71704405,0,0
World,1846,122674854,1068988490,64974119,0,0
World,1847,124173857,1065517317,72733546,0,0
World,1848,124988324,1027572315,115739366,0,0
World,1849,126916283,1031134530,112982153,0,2361968
World,1850,128933680,1033406003,113981619,0,2376868
World,1851,128944286,1069563759,80145209,0,2390857
World,1852,128988661,1071021050,81191228,0,2404184
World,1853,129716080,1071119009,82153427,0,2416841
World,1854,130553144,1070877588,83457566,0,2429565
World,1855,131402818,1070859552,84639361,0,2442355
World,1856,133138592,1069233685,86658065,0,2455213
World,1857,134024156,1069268881,87982720,0,2468139
World,1858,134923246,1079360952,78217141,0,3619471
World,1859,134960505,1079354686,80848059,0,3711534
World,1860,137089068,1078943769,83326384,0,3796042
World,1861,137092913,1084180644,80345262,0,3871952
World,1862,138162160,1084254460,82992279,0,3938125
World,1863,137535113,1086069344,85958515,0,3993315
World,1864,138666968,1088627297,86506509,0,4049793
World,1865,140783986,1057095512,120236238,0,4107592
World,1866,141964523,1064579764,115963034,0,4166751
World,1867,143389583,1065287666,118306045,0,4227308
World,1868,160002535,1032833950,138706115,0,4289302
World,1869,160382815,1030011471,146295205,0,4350511
World,1870,163038514,992057897,188647022,0,4410839
World,1871,163051915,998176610,187487232,0,4470190
World,1872,164335502,997913655,193413534,0,4528458
World,1873,165583136,1005889434,191720349,0,4585535
World,1874,166844989,1024309321,141230756,38412539,4643570
World,1875,169203089,1026410994,144429414,38461370,4702578
World,1876,168530200,1030971906,148282556,38510260,4762580
World,1877,169828496,1038871203,146879893,38559209,4823595
World,1878,171427173,1040080270,151937703,38608217,4885643
World,1879,174100239,1046610637,151128327,38664188,4953116
World,1880,176585641,1047235049,158424465,38727144,5026354
World,1881,176492951,1052753754,161104421,38797107,5105711
World,1882,177849006,1054462732,168181928,38874098,5191558
World,1883,179209607,1064580595,167431938,38958140,5284280
World,1884,180584577,1068712945,172787696,39042361,5379915
World,1885,188459663,1076875962,167803417,39126760,5478561
World,1886,192417759,1075330211,176556259,39211339,5580325
World,1887,193273086,1088903897,172834774,39912699,5685314
World,1888,195997695,1096239532,174215993,40012950,5793641
World,1889,197403435,1103436689,176838402,40105103,5899570
World,1890,200295895,1111772974,178201261,40189112,6002745
World,1891,199972095,1118203059,181309915,40264930,6102789
World,1892,197702769,1123612823,188715042,40332510,6199307
World,1893,199961217,1132852837,187528493,40391803,6291885
World,1894,201053077,1121825704,207917349,40451408,6385931
World,1895,203430152,1127490403,210484292,40511329,6481467
World,1896,204572677,1150604278,196928636,40571572,6578520
World,1897,208318644,1154994240,193123195,40632141,13197018
World,1898,209531414,1141849963,222553983,40693044,6777274
World,1899,208220150,1152027766,225338299,40756003,6877634
World,1900,119503346,1251023334,222361408,40821076,13695858
World,1901,118299341,1257521900,228208911,40888319,13867172
World,1902,116776984,1267954571,230208212,40957793,16666822
World,1903,117262599,1277587435,234258744,41029557,16874470
